episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
377,-666.28,-512.71,-153.57,1000,3054.5
378,-658.85,-514.42,-144.44,1000,3064.0
379,-702.99,-542.97,-160.02,1000,3073.8
380,-817.14,-614.06,-203.08,1000,3082.8
381,-848.03,-613.48,-234.55,1000,3091.5
382,-679.92,-499.23,-180.69,1000,3099.9
383,-660.51,-510.31,-150.19,1000,3108.5
384,-653.62,-520.45,-133.17,1000,3117.2
385,-667.13,-516.76,-150.37,1000,3125.8
386,-672.59,-528.54,-144.05,1000,3134.3
387,-770.80,-590.87,-179.93,1000,3142.8
388,-664.22,-524.74,-139.48,1000,3152.3
389,-597.00,-475.64,-121.36,1000,3161.9
390,-703.76,-550.00,-153.76,1000,3171.4
391,-570.61,-461.67,-108.94,1000,3181.3
392,-643.19,-495.43,-147.77,1000,3191.1
393,-1084.59,-721.62,-362.97,1000,3200.1
394,-1214.44,-772.08,-442.36,1000,3209.1
395,-887.40,-644.31,-243.09,1000,3217.9
396,-1113.29,-749.80,-363.49,1000,3226.8
397,-1143.50,-745.40,-398.09,1000,3235.8
398,-612.93,-486.09,-126.84,1000,3245.6
399,-684.06,-530.86,-153.19,1000,3255.3
400,-718.10,-533.07,-185.03,1000,3264.6
401,-714.01,-554.77,-159.24,1000,3274.0
402,-662.52,-511.03,-151.49,1000,3283.3
403,-901.69,-623.14,-278.55,1000,3292.6
404,-1401.32,-863.55,-537.77,1000,3302.0
405,-1523.27,-952.11,-571.16,1000,3311.5
406,-1283.96,-809.18,-474.78,1000,3321.0
407,-1118.41,-718.71,-399.70,1000,3330.5
408,-1291.11,-842.70,-448.41,1000,3339.9
409,-713.26,-533.47,-179.79,1000,3349.5
410,-1099.06,-724.78,-374.28,1000,3359.1
411,-814.63,-613.12,-201.51,1000,3368.6
412,-1175.33,-759.87,-415.46,1000,3378.2
413,-1813.21,-1396.78,-416.43,1000,3387.6
414,-1088.13,-747.07,-341.06,1000,3396.9
415,-1103.28,-724.47,-378.81,1000,3406.0
416,-1168.44,-773.92,-394.52,1000,3415.2
417,-1192.07,-784.56,-407.51,1000,3424.6
418,-1185.88,-783.27,-402.61,1000,3434.3
419,-1207.16,-777.22,-429.94,1000,3443.8
