episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
557,992.56,993.87,-1.31,24,989.2
558,987.98,989.36,-1.38,28,990.1
559,991.28,992.81,-1.54,27,990.9
560,868.33,879.31,-10.98,132,994.9
561,980.90,983.83,-2.93,34,995.9
562,958.79,967.02,-8.23,59,997.6
563,988.51,990.77,-2.25,32,998.5
564,991.09,992.62,-1.54,28,999.3
565,989.91,991.63,-1.72,28,1000.2
566,982.07,985.67,-3.60,44,1001.5
567,988.21,989.74,-1.53,25,1002.3
568,991.70,992.81,-1.11,27,1003.2
569,987.15,990.31,-3.16,29,1004.0
570,992.53,993.50,-0.97,25,1004.7
571,982.92,986.94,-4.02,36,1005.8
572,990.32,992.06,-1.74,29,1006.7
573,986.34,987.86,-1.52,40,1007.8
574,989.77,992.26,-2.48,26,1008.5
575,992.67,993.79,-1.12,24,1009.2
576,991.52,994.08,-2.56,20,1009.8
577,986.26,989.96,-3.70,29,1010.6
578,985.33,988.85,-3.52,32,1011.5
579,980.15,984.68,-4.53,42,1012.7
580,-507.41,-506.22,-1.18,11,1013.1
581,991.58,993.06,-1.47,27,1013.9
582,987.73,989.73,-2.00,37,1014.9
583,992.17,993.55,-1.38,24,1015.6
584,988.62,991.12,-2.51,27,1016.4
585,989.93,991.20,-1.28,32,1017.3
586,961.05,965.00,-3.95,52,1018.9
587,987.49,989.18,-1.70,36,1020.0
588,987.09,990.08,-2.99,25,1020.7
589,990.28,992.82,-2.54,23,1021.4
590,988.89,992.20,-3.32,22,1022.1
591,991.42,993.07,-1.65,26,1022.9
592,-508.07,-506.78,-1.30,13,1023.3
593,982.77,985.27,-2.50,34,1024.2
594,981.78,983.92,-2.14,37,1025.3
595,986.62,989.49,-2.88,33,1026.3
596,987.56,988.68,-1.13,25,1027.0
597,991.66,993.09,-1.43,27,1027.9
598,989.62,991.37,-1.75,29,1028.7
599,960.75,965.95,-5.21,50,1030.1
600,983.13,985.02,-1.89,46,1031.5
601,-506.05,-505.67,-0.37,7,1031.8
602,990.96,993.31,-2.35,26,1032.6
603,901.72,911.07,-9.34,94,1035.3
604,986.43,988.21,-1.79,24,1036.0
605,988.22,991.19,-2.96,28,1036.8
606,987.76,989.29,-1.54,39,1037.9
607,993.17,994.45,-1.28,22,1038.5
608,990.69,992.28,-1.59,27,1039.4
609,992.06,993.44,-1.38,26,1040.1
610,993.38,994.49,-1.11,21,1040.7
611,987.04,989.44,-2.40,36,1041.8
612,-506.68,-505.97,-0.71,13,1042.2
613,-512.25,-509.93,-2.32,18,1042.7
614,991.16,993.42,-2.27,22,1043.3
615,991.99,993.38,-1.38,24,1044.0
616,991.82,993.14,-1.32,27,1044.8
617,988.84,991.07,-2.22,30,1045.7
618,989.90,992.28,-2.37,26,1046.4
619,983.94,985.12,-1.18,36,1047.5
620,988.91,990.93,-2.03,30,1048.4
621,987.70,990.54,-2.85,28,1049.2
622,986.34,988.20,-1.86,25,1050.0
623,-505.76,-505.21,-0.55,10,1050.3
624,992.17,993.67,-1.50,24,1051.0
625,973.17,976.56,-3.38,34,1052.0
626,985.66,987.51,-1.85,25,1052.7
627,982.31,987.07,-4.76,24,1053.4
628,903.03,913.53,-10.50,82,1055.8
629,989.24,991.45,-2.22,29,1056.7
630,957.71,965.90,-8.19,61,1058.5
631,993.07,994.78,-1.71,19,1059.0
632,988.88,991.35,-2.47,31,1059.9
633,982.76,986.24,-3.48,31,1060.9
634,983.81,986.95,-3.14,37,1062.0
635,-508.12,-507.11,-1.01,10,1062.3
636,979.38,984.81,-5.43,38,1063.5
637,978.22,981.96,-3.73,28,1064.3
638,988.02,989.58,-1.56,26,1065.0
639,980.60,984.37,-3.77,39,1066.2
640,986.62,988.24,-1.62,24,1066.9
641,-507.10,-506.33,-0.78,12,1067.3
642,993.21,994.61,-1.40,22,1067.9
